任务/行为,状态,时间,内容,学习内容
看linuxdo论坛,,2026/03/07,"上午一直在看论坛,看到了一个还未毕业的学生,10天做了一个mirofish,预测所有事情的一个网站,大概的意思就是通过模拟现实的各个关联的人物等预测你想知道某件事情的发生结果,说实话,这个东西预测就和股票的涨跌差不多,还真能发现市场!牛的",
网吧,,2026/03/07,"中午和海涛打了会儿瓦,感觉累了,但是两把都赢了,还行!",
目标,,2026/03/07,"还是比较迷茫了,不知道自己要干啥,还是好好弄前端,然后做一个架构师这条路吧,如果机场有合适的岗位,那我就去机场摆烂,两天路,随便一条!",
租车,,2026/03/08,"一波三折,昨晚租小米su7,结果被告知无法到达崖州区,然后我见有免费升级的选项,直接整了理想,依旧被老板退单了.今天早上醒来继续换了平台找,又找到了小米su7,然后静等,过了一个小时,那边店铺说车被撞了,在定损,无法按时交车,只能退了,最后在高德上下单了120的宝马,在11点时我发现还没有人和我沟通,我打电话过去被告知车被延期了,无法准时送达,又给我升级成了宝马轿跑,11点等到了1点才出发...但是值得的,推背感真的很爽! 不开心的是最后收了我50的油钱",
南海观音,,2026/03/08,"即见观音,为何不拜?我只能说我直接跪,给全家人祈福!",
剪头,,2026/03/08,"剪的一般,但是发胶打理真的有水平!",
新游戏,,2026/03/09,"杀戮2 下载,原来是卡牌挑战游戏",
吵架,,2026/03/10,"今天因为回来做饭她嫌弃就一个菜,家里啥也没,她就吼我,我乐了,这饭爱谁做谁坐,爱吃不吃,",
美好的一天,,2026/03/11,"今天下雨,我肚子有点痛,就去买了药,结果吃了过敏果断放弃了",
平淡的一天,,2026/03/12,"修改了简历,发送了邮箱!",
夜跑,,2026/03/13,"今天晚上她突然翻看我的手机,一个没有上下文的❤️表情,让她觉得不舒服,让我给她一个解释,我说我早就记不清楚那天发生了什么了,为啥突然就发那个东西,虽然是互相关注,但我真不知道,她觉得我在隐瞒,在欺骗,突然感觉很累,不想解释不想狡辩,如果她真的相信我,就不会翻看我手机,然后就开始怀疑,2年时间了,还不足以让人了解对方的人品我觉得挺失败的.掰扯到了2点,我完全没有睡意,在阳台吹风看天,突然想跑步了,说走就走,我换上衣服,袜子还在房间衣柜里,我都懒得进去拿了,光脚穿鞋直接出发跑步,手机也没带,电量还剩1%,不幸的是充电器也在卧室,还好有手表.也不是小孩了,出门以防对方担心(其实是多想了),我开始跑步的时候就在想她知不知道我出来了,我阳台的灯亮着,她会不会出来看我人在哪,微信问问我,结果出门20分钟了,也没有收到消息,但我还是秉着负责的态度告知了我夜跑了,没想到她却说你是不是有毛病？
挺无奈的,晚上风挺大,我一口气跑到了海边,吹着海风,听着浪花拍打的声音,我心里反而升起一种释然的情绪,国外还在战火纷飞,而在国内的 我们还有心情纠结这种小事情...
收拾好心情后,我又跑了回去,回去后,不知道她睡着了还是装样子,我没有被子盖,只能盖个毛毯...成年人的心酸",
大富蚝,,2026/03/13,"晚上骑着小电驴接她,我想吃那家大富豪了,光听你说好吃,我也馋了,去了感觉也就一般,只是生蚝个头很大,最后结账她说她来吧,我说我结,(心里却不是滋味,没有收入经济压力太大,还要打脸充胖子,自己对自己无语了,总想着对方能站出来说我请!但我觉得只要对方没说请,那买单的人就是提出该行程的人,请把合理打在公屏上!)吃饱喝足回家!",
游泳,,2026/03/13,"今天蛙泳进步很大,速度挺快,嗖嗖的,30分钟游了800米,最后200 自由泳和仰泳,但是都不是熟练! 希望自己的自由泳能更加熟练!",
收拾家,,2026/03/13,"早上送完孩子(她)上班后,回家就开始睡觉,一觉睡到了1点钟,煮了个玉米和绿豆汤就开始收拾乱糟糟的家,收拾干净完总算有了自豪满足感,果然心情不好的时候干家务是最解压的!",
,,2026/03/13,,
❌重新新开一个作业,,2026/04/07,明天准备搞个自动多agent协作,
,,2026/04/07,,
继续制作ai-blog,,2026/04/24,"感觉做了一个文章blog,一般不够有特色,所以自己让lovart重新画了UI设计稿,前端都改好了",
,,2026/04/24,,
继续制作ai-blog,,2026/04/25,今天的想法就是开始完善博客内容,
,,,,
,,,,
